ws_id;ws_name;ws_origin;ws_lat;ws_lon
5e91e1c214daf81260ebbacc;MEREWA;NMA-EIAR;12.35429;39.31248
5e91e1c214daf81260ebbacd;Denka Ashena;NMA-EIAR;12.62734;39.22826
5e91e1c214daf81260ebbace;Semeret;NMA-EIAR;12.67376;39.3158
5e91e1c214daf81260ebbacf;Selam Bekelisi;NMA-EIAR;12.63308;39.34675
5e91e1c214daf81260ebbad0;Stelgo;NMA-EIAR;12.6087;39.44295
5e91e1c214daf81260ebbad1;Hegumberda;NMA-EIAR;12.64577;39.53334
5e91e1c214daf81260ebbad2;Hashenge;NMA-EIAR;12.61498;39.50514
5e91e1c214daf81260ebbad3;Menkere;NMA-EIAR;12.56956;39.54079
5e91e1c214daf81260ebbad4;Adi Golo;NMA-EIAR;12.53749;39.50414
5e91e1c214daf81260ebbad5;Adisham Bereket;NMA-EIAR;12.56439;39.42042
5e91e1c214daf81260ebbad6;Sasela;NMA-EIAR;12.56775;39.33701
5e91e1c214daf81260ebbad7;Dara bekeda;NMA-EIAR;12.57136;39.25271
5e91e1c214daf81260ebbad8;Zata;NMA-EIAR;12.51244;39.27534
5e91e1c214daf81260ebbad9;Fala;NMA-EIAR;12.50461;39.37933
5e91e1c214daf81260ebbada;Fekere Wolda;NMA-EIAR;12.5061;39.44516
5e91e1c214daf81260ebbadb;Hayalo;NMA-EIAR;12.48327;39.53977
5e91e1c214daf81260ebbadc;Wenberet;NMA-EIAR;12.45954;39.50465
5e91e1c214daf81260ebbadd;kidana;NMA-EIAR;12.42249;39.4809
5e91e1c214daf81260ebbade;Lat;NMA-EIAR;12.4392;39.40815
5e91e1c214daf81260ebbadf;Guara;NMA-EIAR;12.44698;39.30617
5e91e1c214daf81260ebbae0;Tsebet;NMA-EIAR;12.84212;39.50062
63a374da05732d2a14260549;Alaje;NMA-EIAR;12.945033;39.42182
63a374da05732d2a1426054a;Alamata;NMA-EIAR;12.385983;39.51277
63a374da05732d2a1426054b;Endamehoni;NMA-EIAR;12.753128;39.45099
63a374da05732d2a1426054c;Enderta;NMA-EIAR;13.437366;39.55513
63a374da05732d2a1426054d;Hintalo Wejirat;NMA-EIAR;13.134439;39.57959
